,날짜,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
66,2022-09-18,일,키움,NC,고척,4128,14:00,16:53,2:53,안우진,김태경,고척
67,2022-09-20,화,키움,삼성,고척,4851,18:30,21:47,3:17,요키시,원태인,고척
68,2022-09-21,수,키움,삼성,고척,5407,18:30,21:57,3:27,한현희,백정현,고척
69,2022-09-22,목,키움,두산,고척,3063,18:30,22:12,3:42,정찬헌,최승용,고척
70,2022-09-23,금,키움,두산,고척,4040,18:30,21:46,3:16,애플러,브랜든,고척
71,2022-09-24,토,키움,롯데,고척,9442,17:00,20:21,3:21,안우진,박세웅,고척
72,2023-04-01,토,키움,한화,고척,16000,14:01,17:56,3:55,안우진,스미스,고척
73,2023-04-02,일,키움,한화,고척,11562,14:00,17:36,3:36,요키시,김민우,고척
74,2023-04-04,화,키움,LG,고척,4510,18:30,21:33,3:03,후라도,플럿코,고척
75,2023-04-05,수,키움,LG,고척,4194,18:30,21:40,3:10,최원태,이민호,고척
76,2023-04-06,목,키움,LG,고척,4556,18:31,21:45,3:14,장재영,강효종,고척
77,2023-04-14,금,키움,KIA,고척,8043,18:31,21:22,2:51,요키시,메디나,고척
78,2023-04-15,토,키움,KIA,고척,13752,17:00,19:56,2:56,후라도,윤영철,고척
79,2023-04-16,일,키움,KIA,고척,11265,14:00,16:48,2:48,최원태,양현종,고척
80,2023-04-18,화,키움,삼성,고척,3104,18:30,21:22,2:52,장재영,백정현,고척
81,2023-04-19,수,키움,삼성,고척,3869,18:30,22:50,4:20,안우진,이재희,고척
82,2023-04-20,목,키움,삼성,고척,3918,18:30,21:12,2:42,요키시,뷰캐넌,고척
83,2023-04-25,화,키움,KT,고척,2956,18:30,21:12,2:42,안우진,엄상백,고척
84,2023-04-26,수,키움,KT,고척,2489,18:30,21:35,3:05,요키시,벤자민,고척
85,2023-04-27,목,키움,KT,고척,3024,18:30,21:48,3:18,후라도,조이현,고척
86,2023-05-05,금,키움,SSG,고척,16000,14:00,16:35,2:35,정찬헌,오원석,고척
87,2023-05-06,토,키움,SSG,고척,11063,17:00,19:38,2:38,안우진,박종훈,고척
88,2023-05-07,일,키움,SSG,고척,7623,14:00,18:40,4:40,요키시,송영진,고척
89,2023-05-12,금,키움,NC,고척,3866,18:31,22:01,3:30,안우진,이용준,고척
