날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.07.27(수),18:30,22:40,4:10,수아레즈,남지민,포항
2022.07.28(목),18:30,22:22,3:52,원태인,라미레즈,포항
2022.07.29(금),18:29,22:25,3:56,김민우,최승용,대전
2022.07.30(토),18:00,21:15,3:15,페냐,박신지,대전
2022.08.02(화),18:30,21:41,3:11,장민재,놀린,대전
2022.08.03(수),18:30,23:03,4:33,남지민,파노니,대전
2022.08.04(목),18:30,21:58,3:28,라미레즈,양현종,대전
2022.08.05(금),18:30,21:22,2:52,고영표,김민우,수원
2022.08.06(토),18:00,21:02,3:02,소형준,페냐,수원
2022.08.07(일),17:01,21:36,4:35,엄상백,장민재,수원
2022.08.12(금),18:30,22:44,4:14,라미레즈,이민호,대전
2022.08.13(토),18:00,21:41,3:41,남지민,애플러,대전
2022.08.14(일),17:00,21:14,4:14,페냐,정찬헌,대전
2022.08.17(수),18:30,21:22,2:52,이재학,김민우,창원
2022.08.18(목),18:30,21:53,3:23,라미레즈,원태인,대전
2022.08.19(금),18:30,22:35,4:05,장민재,최하늘,대전
2022.08.20(토),18:00,21:29,3:29,나균안,페냐,사직
2022.08.21(일),17:00,20:19,3:19,서준원,남지민,사직
2022.08.23(화),18:49,22:05,3:16,김민우,플럿코,대전
2022.08.24(수),18:30,22:18,3:48,라미레즈,이민호,대전
2022.08.25(목),18:29,21:56,3:27,장민재,최승용,대전
2022.08.26(금),18:30,21:28,2:58,페냐,스탁,대전
2022.08.27(토),18:01,21:12,3:11,백정현,남지민,대구
2022.08.28(일),17:01,20:46,3:45,뷰캐넌,김민우,대구
2022.08.31(수),18:30,22:12,3:42,라미레즈,양현종,대전
2022.09.01(목),18:30,21:27,2:57,안우진,장민재,고척
2022.09.02(금),18:30,21:43,3:13,요키시,페냐,고척
2022.09.03(토),17:00,20:16,3:16,남지민,구창모,대전
2022.09.04(일),14:00,17:09,3:09,김민우,신민혁,대전
2022.09.06(화),18:31,21:40,3:09,고영표,라미레즈,수원
2022.09.07(수),18:30,21:03,2:33,엄상백,장민재,수원
2022.09.08(목),18:31,22:07,3:36,곽빈,페냐,잠실
2022.09.09(금),14:00,17:14,3:14,최원준,남지민,잠실
2022.09.10(토),17:00,20:03,3:03,김민우,박종훈,대전
2022.09.11(일),14:00,16:52,2:52,라미레즈,김광현,대전
2022.09.13(화),18:30,21:21,2:51,장민재,엄상백,대전
2022.09.14(수),18:30,21:37,3:07,페냐,데스파이네,대전
2022.09.15(목),18:30,22:19,3:49,파노니,남지민,광주
2022.09.16(금),18:30,23:22,4:52,양현종,김민우,광주
2022.09.17(토),17:00,20:02,3:02,이민호,김기중,잠실
2022.09.18(일),14:00,17:30,3:30,켈리,장민재,잠실
2022.09.20(화),18:30,22:11,3:41,페냐,나균안,대전
2022.09.21(수),18:30,21:30,3:00,문동주,이인복,대전
2022.09.22(목),18:29,21:25,2:56,박종훈,김민우,문학
2022.09.23(금),18:29,21:56,3:27,김광현,김기중,문학
2022.09.24(토),17:00,20:32,3:32,켈리,장민재,잠실
2022.09.25(일),14:00,17:07,3:07,곽빈,한승주,잠실
2022.09.27(화),18:30,22:16,3:46,문동주,김윤식,대전
2022.09.28(수),18:30,22:04,3:34,김민우,임찬규,대전
2022.09.29(목),18:30,22:05,3:35,김기중,브랜든,대전
2022.09.30(금),18:30,22:45,4:15,장민재,이인복,대전
2022.10.02(일),14:00,17:13,3:13,박준영,놀린,대전
2022.10.03(월),13:59,17:31,3:32,문동주,박종훈,대전
2022.10.06(목),18:30,22:43,4:13,김민우,요키시,대전
2022.10.08(토),17:00,21:47,4:47,이재학,박준영,창원
2023.04.01(토),14:01,17:56,3:55,안우진,스미스,고척
2023.04.02(일),14:00,17:36,3:36,요키시,김민우,고척
2023.04.04(화),18:30,21:40,3:10,원태인,페냐,대구
2023.04.06(목),18:30,21:15,2:45,백정현,문동주,대구
2023.04.07(금),18:29,22:31,4:02,장민재,박종훈,대전
2023.04.08(토),17:00,20:57,3:57,김민우,김광현,대전
2023.04.09(일),14:00,17:07,3:07,페냐,맥카티,대전
2023.04.11(화),18:29,22:15,3:46,양현종,남지민,광주
2023.04.12(수),18:29,21:14,2:45,앤더슨,문동주,광주
2023.04.13(목),18:30,21:59,3:29,이의리,장민재,광주
2023.04.14(금),18:29,23:25,4:56,벤자민,김민우,수원
2023.04.15(토),17:00,20:26,3:26,배제성,페냐,수원
2023.04.16(일),14:00,17:12,3:12,슐서,남지민,수원
2023.04.18(화),18:30,21:28,2:58,문동주,최원준,대전
2023.04.19(수),18:30,22:04,3:34,장민재,김동주,대전
2023.04.20(목),18:30,21:27,2:57,김민우,알칸타라,대전
2023.04.21(금),18:30,21:58,3:28,페냐,플럿코,대전
2023.04.22(토),17:00,19:54,2:54,남지민,임찬규,대전
2023.04.23(일),14:00,17:36,3:36,이태양,강효종,대전
2023.04.26(수),18:29,22:00,3:31,스트레일리,장민재,사직
2023.04.27(목),18:30,21:14,2:44,나균안,김민우,사직
2023.04.28(금),18:30,22:01,3:31,페냐,신민혁,대전
2023.04.29(토),17:00,20:37,3:37,남지민,이용준,대전
2023.04.30(일),14:00,16:45,2:45,문동주,페디,대전
2023.05.02(화),18:31,21:36,3:05,알칸타라,장민재,잠실
2023.05.03(수),18:30,21:57,3:27,김동주,김민우,잠실
2023.05.04(목),18:30,22:08,3:38,딜런,페냐,잠실
