날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.07.31(일),16:59,21:25,4:26,최하늘,이민석,대구
2022.08.03(수),18:30,22:08,3:38,최원준,수아레즈,잠실
2022.08.04(목),18:31,21:50,3:19,이영하,원태인,잠실
2022.08.05(금),18:31,21:41,3:10,폰트,황동재,문학
2022.08.06(토),18:00,22:44,4:44,박종훈,허윤동,문학
2022.08.07(일),17:00,20:39,3:39,모리만도,장필준,문학
2022.08.10(수),18:30,22:24,3:54,수아레즈,파노니,대구
2022.08.12(금),18:30,22:19,3:49,원태인,양현종,대구
2022.08.13(토),18:00,20:40,2:40,엄상백,황동재,수원
2022.08.14(일),17:00,21:30,3:25,배제성,백정현,수원
2022.08.16(화),18:30,21:41,3:11,플럿코,수아레즈,잠실
2022.08.17(수),18:29,22:29,4:00,김윤식,양창섭,잠실
2022.08.18(목),18:30,21:53,3:23,라미레즈,원태인,대전
2022.08.19(금),18:30,22:35,4:05,장민재,최하늘,대전
2022.08.21(일),17:00,20:16,3:16,백정현,구창모,대구
2022.08.23(화),18:30,21:43,3:13,김광현,수아레즈,문학
2022.08.24(수),18:30,21:26,2:56,이태양,양창섭,문학
2022.08.25(목),18:30,21:42,3:12,박세웅,원태인,사직
2022.08.26(금),18:30,21:23,2:53,나균안,최하늘,사직
2022.08.27(토),18:01,21:12,3:11,백정현,남지민,대구
2022.08.28(일),17:01,20:46,3:45,뷰캐넌,김민우,대구
2022.08.31(수),18:30,21:24,2:54,수아레즈,폰트,대구
2022.09.01(목),18:33,21:53,3:20,이의리,원태인,광주
2022.09.02(금),18:30,21:42,3:12,놀린,최하늘,광주
2022.09.03(토),16:59,20:12,3:13,최원준,백정현,잠실
2022.09.06(화),18:30,21:38,3:08,뷰캐넌,애플러,대구
2022.09.07(수),18:29,21:17,2:48,수아레즈,주승우,대구
2022.09.08(목),18:30,21:37,3:07,원태인,나균안,대구
2022.09.09(금),14:00,17:04,3:04,백정현,이인복,대구
2022.09.10(토),16:59,20:18,3:19,최하늘,플럿코,대구
2022.09.11(일),14:00,16:49,2:49,뷰캐넌,이민호,대구
2022.09.13(화),18:30,21:02,2:32,송명기,수아레즈,창원
2022.09.14(수),18:30,21:06,2:36,더모디,원태인,창원
2022.09.15(목),18:30,22:07,3:37,백정현,최원준,대구
2022.09.16(금),18:30,22:28,3:58,허윤동,최승용,대구
2022.09.17(토),17:00,19:58,2:58,뷰캐넌,임기영,대구
2022.09.18(일),14:00,17:16,3:16,수아레즈,이의리,대구
2022.09.20(화),18:30,21:47,3:17,요키시,원태인,고척
2022.09.21(수),18:30,21:57,3:27,한현희,백정현,고척
2022.09.22(목),18:31,22:23,3:52,황동재,소형준,대구
2022.09.23(금),18:30,21:29,2:59,뷰캐넌,고영표,대구
2022.09.25(일),14:00,17:04,3:04,수아레즈,놀린,대구
2022.09.28(수),18:28,21:13,2:45,구창모,원태인,창원
2022.09.29(목),18:31,20:51,2:20,뷰캐넌,루친스키,대구
2022.09.30(금),18:30,21:57,3:27,백정현,스탁,대구
2022.10.01(토),17:01,19:43,2:42,수아레즈,곽빈,대구
2022.10.04(화),18:30,21:02,2:32,벤자민,원태인,수원
2022.10.05(수),18:30,21:26,2:56,고영표,뷰캐넌,수원
2022.10.06(목),18:31,21:18,2:47,스탁,백정현,잠실
2022.10.07(금),18:31,22:01,3:30,곽빈,김윤수,잠실
2022.10.08(토),17:00,19:14,2:14,수아레즈,박종훈,대구
2023.04.01(토),14:03,17:19,3:16,뷰캐넌,페디,대구
2023.04.02(일),13:59,17:30,3:31,수아레즈,구창모,대구
2023.04.04(화),18:30,21:40,3:10,원태인,페냐,대구
2023.04.06(목),18:30,21:15,2:45,백정현,문동주,대구
2023.04.07(금),18:30,21:11,2:41,켈리,양창섭,잠실
2023.04.08(토),17:00,19:52,2:52,김윤식,뷰캐넌,잠실
2023.04.09(일),14:01,17:25,3:24,플럿코,수아레즈,잠실
2023.04.11(화),18:30,21:39,3:09,원태인,오원석,대구
2023.04.12(수),18:30,21:02,2:32,백정현,문승원,대구
2023.04.13(목),18:30,22:08,3:38,양창섭,박종훈,대구
2023.04.14(금),18:31,21:58,3:27,뷰캐넌,스트레일리,대구
2023.04.15(토),17:11,21:05,3:54,수아레즈,나균안,대구
2023.04.16(일),14:01,16:44,2:43,원태인,반즈,대구
2023.04.18(화),18:30,21:22,2:52,장재영,백정현,고척
2023.04.19(수),18:30,22:50,4:20,안우진,이재희,고척
2023.04.20(목),18:30,21:12,2:42,요키시,뷰캐넌,고척
2023.04.21(금),18:30,21:50,3:20,윤영철,장필준,광주
2023.04.22(토),16:59,19:56,2:57,양현종,원태인,광주
2023.04.23(일),14:00,17:07,3:07,앤더슨,백정현,광주
2023.04.26(수),18:29,21:28,2:59,뷰캐넌,알칸타라,대구
2023.04.27(목),18:29,21:09,2:40,장필준,김동주,대구
2023.04.28(금),18:31,22:31,4:00,슐서,수아레즈,수원
2023.04.29(토),17:00,20:10,3:10,고영표,원태인,수원
2023.04.30(일),13:59,17:42,3:43,엄상백,백정현,수원
2023.05.02(화),18:30,21:56,3:26,뷰캐넌,요키시,대구
2023.05.03(수),18:30,21:00,2:30,오승환,후라도,대구
2023.05.04(목),18:30,21:23,2:53,수아레즈,최원태,대구
2023.05.09(화),18:30,21:39,3:09,김민우,뷰캐넌,대전
2023.05.10(수),18:30,20:50,2:20,페냐,원태인,대전
2023.05.11(목),18:30,20:49,2:19,산체스,수아레즈,대전
2023.05.12(금),18:30,21:04,2:34,백정현,이지강,대구
2023.05.13(토),17:00,19:52,2:52,허윤동,켈리,대구
2023.05.14(일),13:59,17:04,3:05,뷰캐넌,플럿코,대구
2023.05.16(화),18:30,21:51,3:21,원태인,앤더슨,대구
2023.05.17(수),18:30,21:44,3:14,수아레즈,윤영철,대구
2023.05.19(금),18:29,22:00,3:31,이용준,백정현,창원
2023.05.20(토),17:00,20:16,3:16,페디,최하늘,창원
2023.05.21(일),14:00,17:57,3:57,이재학,뷰캐넌,창원
2023.05.23(화),18:30,21:49,3:19,장원준,원태인,잠실
2023.05.24(수),18:31,22:06,3:35,김동주,수아레즈,잠실
2023.05.25(목),18:31,22:12,3:41,최승용,백정현,잠실
2023.05.26(금),18:30,21:48,3:18,양창섭,배제성,대구
2023.05.27(토),14:00,16:50,2:50,뷰캐넌,벤자민,대구
2023.05.28(일),14:00,16:54,2:36,원태인,슐서,대구
2023.05.30(화),18:30,21:16,2:46,맥카티,수아레즈,문학
2023.05.31(수),18:30,21:19,2:49,엘리아스,백정현,문학
2023.06.01(목),18:30,21:29,2:59,백승건,양창섭,문학
2023.06.02(금),18:30,22:31,4:01,김민우,뷰캐넌,대전
2023.06.03(토),17:00,19:57,2:57,페냐,원태인,대전
2023.06.04(일),17:00,20:22,3:22,산체스,수아레즈,대전
2023.06.06(화),17:00,20:03,3:03,백정현,와이드너,대구
2023.06.07(수),18:30,22:11,3:41,김대우,이용준,대구
2023.06.08(목),18:30,21:48,3:18,황동재,최성영,대구
2023.06.09(금),18:30,21:36,3:06,원태인,나균안,대구
2023.06.10(토),17:00,20:50,3:50,수아레즈,한현희,대구
2023.06.11(일),16:59,20:31,3:32,백정현,박세웅,대구
2023.06.13(화),18:30,21:23,2:53,플럿코,최채흥,잠실
2023.06.14(수),18:29,21:38,3:09,이상영,뷰캐넌,잠실
2023.06.15(목),18:30,21:30,3:00,임찬규,황동재,잠실
2023.06.16(금),18:30,21:39,3:09,벤자민,수아레즈,수원
2023.06.17(토),16:59,20:08,3:09,쿠에바스,백정현,수원
2023.06.18(일),17:00,20:44,3:44,엄상백,최채흥,수원
2023.06.20(화),18:29,21:41,3:12,뷰캐넌,최원태,대구
2023.06.21(수),18:30,21:41,3:11,원태인,정찬헌,대구
2023.06.22(목),18:30,21:32,3:02,수아레즈,안우진,대구
2023.06.23(금),18:29,21:10,2:41,김광현,백정현,문학
2023.06.24(토),17:00,20:38,3:38,엘리아스,최채흥,문학
2023.06.25(일),17:00,20:12,3:12,조성훈,뷰캐넌,문학
2023.06.27(화),18:30,21:36,3:06,정성종,원태인,사직
2023.06.28(수),18:30,22:07,3:37,이인복,수아레즈,사직
2023.06.30(금),18:28,21:16,2:48,최채흥,문동주,대구
2023.07.01(토),17:59,21:17,3:18,뷰캐넌,산체스,대구
2023.07.02(일),17:00,19:33,2:33,원태인,페냐,대구
2023.07.04(화),18:30,22:54,4:24,수아레즈,최원준,포항
2023.07.05(수),18:29,22:04,3:35,황동재,김동주,포항
2023.07.06(목),18:28,21:19,2:51,최채흥,브랜든,포항
2023.07.08(토),18:00,20:56,2:56,신민혁,뷰캐넌,창원
2023.07.09(일),17:00,20:05,3:05,송명기,수아레즈,창원
2023.07.12(수),18:29,21:33,3:04,파노니,원태인,광주
2023.07.13(목),18:29,21:29,3:00,양현종,뷰캐넌,광주
2023.07.21(금),18:30,21:18,2:48,장필준,쿠에바스,대구
2023.07.22(토),18:00,20:58,2:58,원태인,엄상백,대구
2023.07.23(일),17:00,20:52,3:52,뷰캐넌,배제성,대구
2023.07.25(화),18:30,21:35,3:05,수아레즈,오원석,대구
2023.07.26(수),18:29,22:32,3:54,최채흥,맥카티,대구
2023.07.27(목),18:30,21:41,3:11,김대우,김광현,대구
2023.07.28(금),18:31,22:56,4:25,후라도,원태인,고척
2023.07.29(토),18:01,21:09,3:08,김동혁,뷰캐넌,고척
2023.07.30(일),14:00,17:45,3:45,장재영,백정현,고척
2023.08.01(화),18:30,22:16,3:46,수아레즈,산체스,포항
2023.08.02(수),18:29,21:45,3:16,최채흥,양현종,포항
2023.08.03(목),18:29,22:36,4:07,원태인,이의리,포항
2023.08.04(금),18:30,21:23,2:53,뷰캐넌,이지강,대구
2023.08.05(토),18:00,20:34,2:34,백정현,최원태,대구
2023.08.06(일),16:59,20:47,3:48,수아레즈,임찬규,대구
2023.08.08(화),18:30,21:34,3:04,최승용,최채흥,잠실
2023.08.09(수),18:31,21:44,3:13,알칸타라,원태인,잠실
2023.08.11(금),18:30,22:08,3:38,오원석,뷰캐넌,문학
2023.08.12(토),18:00,22:05,4:05,맥카티,백정현,문학
2023.08.13(일),17:00,19:39,2:39,김광현,와이드너,문학
2023.08.15(화),17:00,20:13,3:13,원태인,플럿코,대구
2023.08.16(수),18:30,21:05,2:35,뷰캐넌,이정용,대구
2023.08.17(목),18:30,21:12,2:42,백정현,켈리,대구
2023.08.18(금),18:30,21:59,3:29,와이드너,윤영철,대구
2023.08.19(토),18:00,21:12,3:12,최채흥,산체스,대구
2023.08.20(일),17:00,21:55,3:27,원태인,황동하,대구
2023.08.22(화),18:30,21:40,3:10,이태양,뷰캐넌,대전
2023.08.25(금),18:30,21:41,3:11,와이드너,안우진,대구
2023.08.26(토),18:00,21:09,3:09,백정현,후라도,대구
2023.08.27(일),18:01,21:02,3:01,원태인,김선기,대구
2023.08.31(목),18:29,21:20,2:51,벤자민,홍정우,수원
2023.09.01(금),18:29,21:37,3:08,최채흥,태너,대구
2023.09.02(토),17:00,21:55,3:27,원태인,이재학,대구
2023.09.03(일),14:07,17:26,3:19,뷰캐넌,최성영,대구
2023.09.05(화),18:30,22:05,3:35,윌커슨,최채흥,울산
2023.09.06(수),18:30,22:19,3:49,나균안,와이드너,울산
2023.09.07(목),18:30,22:33,4:03,심재민,원태인,울산
2023.09.08(금),18:30,22:32,4:02,최승용,김대우,잠실
2023.09.09(토),14:01,16:47,2:46,장원준,뷰캐넌,잠실
2023.09.09(토),17:17,20:20,3:03,브랜든,최하늘,잠실
2023.09.10(일),14:00,17:23,3:23,알칸타라,최채흥,잠실
2023.09.12(화),18:30,22:09,3:39,와이드너,파노니,대구
2023.09.14(목),18:31,22:45,3:03,원태인,배제성,대구
2023.09.15(금),18:44,21:51,3:07,최성영,뷰캐넌,창원
2023.09.17(일),14:00,17:23,3:23,와이드너,박세웅,대구
2023.09.19(화),18:30,21:48,3:18,고영표,황동재,수원
2023.09.21(목),18:45,21:47,3:02,뷰캐넌,브랜든,대구
2023.09.22(금),18:30,21:25,2:55,최채흥,최승용,대구
2023.09.27(수),15:00,18:55,3:55,김기중,와이드너,대전
2023.09.27(수),19:26,22:27,3:01,페냐,황동재,대전
2023.09.28(목),17:00,20:08,3:08,이정용,최채흥,잠실
2023.09.30(토),14:00,16:50,2:50,뷰캐넌,이재학,대구
2023.10.01(일),14:00,16:57,2:57,윌커슨,이호성,사직
2023.10.02(월),14:00,17:34,3:34,심재민,와이드너,사직
2023.10.02(월),18:05,21:54,3:49,정성종,김대우,사직
2023.10.03(화),14:00,16:42,2:42,반즈,황동재,사직
2023.10.04(수),18:30,21:57,3:27,김서준,산체스,대구
2023.10.05(목),18:30,20:59,2:29,뷰캐넌,김기중,대구
2023.10.06(금),18:29,21:32,3:03,벤자민,이호성,수원
2023.10.08(일),13:59,16:53,2:54,윤영철,와이드너,광주
2023.10.09(월),13:59,17:35,3:36,이의리,김대우,광주
2023.10.10(화),18:30,21:46,3:16,김선기,황동재,고척
2023.10.14(토),16:59,20:21,3:22,뷰캐넌,문승원,대구
2023.10.15(일),14:02,17:14,3:12,송명기,원태인,창원
2024.03.23(토),14:00,17:19,3:19,쿠에바스,코너,수원
2024.03.24(일),14:00,17:17,3:17,엄상백,레예스,수원
2024.03.26(화),18:30,21:09,2:39,켈리,백정현,잠실
2024.03.27(수),18:30,22:42,4:12,최원태,원태인,잠실
2024.03.28(목),18:30,21:36,3:06,손주영,이승민,잠실
2024.03.29(금),18:29,21:09,2:40,코너,김광현,대구
2024.03.30(토),17:00,20:46,3:46,레예스,엘리아스,대구
2024.03.31(일),13:59,17:35,3:36,백정현,더거,대구
2024.04.02(화),18:30,21:07,2:37,원태인,김선기,대구
2024.04.04(목),18:30,21:09,2:39,코너,후라도,대구
2024.04.05(금),18:30,21:13,2:43,크로우,레예스,광주
2024.04.06(토),17:00,20:36,3:36,윤영철,이승민,광주
2024.04.07(일),14:00,17:22,3:22,양현종,이호성,광주
2024.04.09(화),18:31,21:38,3:07,나균안,원태인,사직
2024.04.10(수),14:01,18:32,4:31,윌커슨,코너,사직
2024.04.11(목),18:31,21:23,2:52,이인복,레예스,사직
2024.04.12(금),18:30,21:41,3:11,이승민,카스타노,대구
2024.04.13(토),17:00,20:34,3:34,이호성,하트,대구
2024.04.14(일),14:00,17:11,3:11,원태인,이재학,대구
2024.04.16(화),18:30,21:26,2:56,코너,박소준,대구
2024.04.17(수),18:30,21:34,3:04,레예스,김호준,대구
2024.04.18(목),18:30,21:35,3:05,이승현,곽빈,대구
2024.04.19(금),18:30,21:28,2:58,페냐,이호성,대전
2024.04.20(토),17:00,19:53,2:53,황준서,원태인,대전
2024.04.21(일),14:00,17:14,3:14,산체스,코너,대전
2024.04.23(화),18:30,21:26,2:24,레예스,임찬규,대구
2024.04.24(수),18:30,20:58,2:28,이승현,켈리,대구
2024.04.25(목),18:30,21:35,3:05,이호성,최원태,대구
2024.04.26(금),18:30,21:19,2:49,김인범,원태인,고척
2024.04.27(토),17:01,20:24,3:23,후라도,코너,고척
2024.04.28(일),14:01,17:39,3:38,하영민,레예스,고척
2024.04.30(화),18:31,21:25,2:54,곽빈,이승현,잠실
2024.05.01(수),18:31,21:22,2:51,브랜든,이호성,잠실
2024.05.02(목),18:30,21:16,2:46,최원준,원태인,잠실
2024.05.03(금),18:30,22:32,4:02,코너,나균안,대구
2024.05.04(토),17:00,20:14,3:14,레예스,윌커슨,대구
2024.05.08(수),18:30,23:02,4:32,원태인,양현종,대구
2024.05.09(목),18:30,21:33,3:03,이승현,네일,대구
2024.05.10(금),18:30,21:54,3:24,하트,코너,창원
2024.05.11(토),17:01,20:35,3:34,김시훈,이호성,창원
2024.05.12(일),14:01,16:58,2:57,이재학,레예스,창원
2024.05.14(화),18:29,21:18,2:49,오원석,원태인,문학
2024.05.16(목),18:29,21:51,3:22,김광현,코너,문학
2024.05.17(금),18:30,21:46,3:16,이승현,황준서,대구
2024.05.18(토),17:00,20:54,3:54,레예스,조동욱,대구
2024.05.19(일),14:01,17:07,3:06,이호성,류현진,대구
2024.05.21(화),18:30,22:35,4:05,원태인,육청명,대구
2024.05.22(수),18:30,21:14,2:44,코너,쿠에바스,대구
2024.05.23(목),18:30,21:34,3:04,이승현,원상현,대구
2024.05.24(금),18:31,22:30,3:59,나균안,레예스,사직
2024.05.25(토),17:01,20:18,3:17,김진욱,이호성,사직
2024.05.26(일),14:01,17:26,3:25,반즈,원태인,사직
2024.05.28(화),18:31,21:27,2:56,코너,후라도,대구
2024.05.29(수),18:30,21:47,3:17,이승현,헤이수스,대구
2024.05.30(목),18:31,21:26,2:55,레예스,이종민,대구
2024.05.31(금),18:30,22:12,3:42,김대우,김규연,대구
2024.06.01(토),17:00,19:49,2:49,원태인,조동욱,대구
2024.06.02(일),17:00,19:45,2:45,코너,문동주,대구
