날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.08.07(일),17:00,20:24,3:24,놀린,곽빈,광주
2022.08.10(수),18:30,21:41,3:11,최원준,이재학,잠실
2022.08.11(목),18:30,22:03,3:33,브랜든,신민혁,잠실
2022.08.12(금),18:31,21:52,3:21,스탁,루친스키,잠실
2022.08.13(토),18:01,21:47,3:46,이영하,박종훈,잠실
2022.08.14(일),17:01,21:17,3:46,곽빈,모리만도,잠실
2022.08.17(수),18:31,21:39,3:08,반즈,최원준,사직
2022.08.18(목),18:29,21:30,3:01,브랜든,최원태,잠실
2022.08.20(토),18:00,21:21,3:21,켈리,스탁,잠실
2022.08.21(일),17:00,20:26,3:26,임찬규,곽빈,잠실
2022.08.23(화),18:30,22:30,4:00,최원준,벤자민,잠실
2022.08.24(수),18:30,21:44,3:14,브랜든,고영표,잠실
2022.08.25(목),18:29,21:56,3:27,장민재,최승용,대전
2022.08.26(금),18:30,21:28,2:58,페냐,스탁,대전
2022.08.27(토),18:01,21:00,2:59,임기영,곽빈,광주
2022.08.28(일),17:01,20:48,3:47,파노니,최원준,광주
2022.08.31(수),18:30,21:19,2:49,고영표,브랜든,수원
2022.09.01(목),18:29,21:15,2:46,스탁,나균안,잠실
2022.09.02(금),18:30,22:23,3:53,박신지,스트레일리,잠실
2022.09.03(토),16:59,20:12,3:13,최원준,백정현,잠실
2022.09.06(화),18:31,21:14,2:43,루친스키,브랜든,창원
2022.09.07(수),18:30,22:06,3:36,송명기,스탁,창원
2022.09.08(목),18:31,22:07,3:36,곽빈,페냐,잠실
2022.09.09(금),14:00,17:14,3:14,최원준,남지민,잠실
2022.09.10(토),13:59,16:36,2:37,최승용,임기영,잠실
2022.09.11(일),14:01,17:24,3:23,브랜든,양현종,잠실
2022.09.13(화),18:30,21:35,3:05,박신지,켈리,잠실
2022.09.14(수),18:30,21:46,3:16,곽빈,임찬규,잠실
2022.09.15(목),18:30,22:07,3:37,백정현,최원준,대구
2022.09.16(금),18:30,22:28,3:58,허윤동,최승용,대구
2022.09.17(토),17:00,19:47,2:47,김광현,브랜든,문학
2022.09.18(일),13:59,18:14,4:15,폰트,스탁,문학
2022.09.20(화),18:30,22:02,3:32,곽빈,더모디,잠실
2022.09.21(수),18:30,21:53,3:23,최원준,송명기,잠실
2022.09.22(목),18:30,22:12,3:42,정찬헌,최승용,고척
2022.09.23(금),18:30,21:46,3:16,애플러,브랜든,고척
2022.09.24(토),16:59,20:10,3:11,이태양,박신지,문학
2022.09.25(일),14:00,17:07,3:07,곽빈,한승주,잠실
