날짜,요일,홈팀,원정팀,장소,관중 수
2024-04-06,토,NC,SSG,창원,11064
2024-04-07,일,NC,SSG,창원,8861
2024-04-09,화,NC,KT,창원,4918
2024-04-10,수,NC,KT,창원,9895
2024-04-11,목,NC,KT,창원,3311
2024-04-16,화,NC,한화,창원,4658
2024-04-17,수,NC,한화,창원,9921
2024-04-26,금,NC,롯데,창원,16573
2024-04-27,토,NC,롯데,창원,17891
2024-04-28,일,NC,롯데,창원,17891
2024-04-30,화,NC,LG,창원,7278
2024-05-01,수,NC,LG,창원,10397
2024-05-02,목,NC,LG,창원,6338
2024-05-10,금,NC,삼성,창원,12438
2024-05-11,토,NC,삼성,창원,17891
2024-05-12,일,NC,삼성,창원,16181
2024-05-17,금,NC,KIA,창원,12280
2024-05-18,토,NC,KIA,창원,17891
2024-05-19,일,NC,KIA,창원,16253
2024-05-28,화,NC,KIA,창원,8024
2024-05-29,수,NC,KIA,창원,7994
2024-05-30,목,NC,KIA,창원,7349
2024-06-04,화,NC,두산,창원,5448
2024-06-05,수,NC,두산,창원,9892
2024-06-06,목,NC,두산,창원,14517
2024-06-11,화,NC,KT,창원,4279
2024-06-12,수,NC,KT,창원,4123
2024-06-13,목,NC,KT,창원,3764
