날짜,요일,홈팀,원정팀,장소,관중 수
2024-04-02,화,한화,롯데,대전,12000
2024-04-04,목,한화,롯데,대전,12000
2024-04-12,금,한화,KIA,대전,12000
2024-04-13,토,한화,KIA,대전,12000
2024-04-14,일,한화,KIA,대전,12000
2024-04-19,금,한화,삼성,대전,12000
2024-04-20,토,한화,삼성,대전,12000
2024-04-21,일,한화,삼성,대전,12000
2024-04-26,금,한화,두산,대전,12000
2024-04-27,토,한화,두산,대전,12000
2024-04-28,일,한화,두산,대전,12000
2024-04-30,화,한화,SSG,대전,12000
2024-05-01,수,한화,SSG,대전,12000
2024-05-02,목,한화,SSG,대전,10890
2024-05-10,금,한화,키움,대전,12000
2024-05-11,토,한화,키움,대전,12000
2024-05-12,일,한화,키움,대전,12000
2024-05-14,화,한화,NC,대전,12000
2024-05-15,수,한화,NC,대전,12000
2024-05-16,목,한화,NC,대전,9522
2024-05-21,화,한화,LG,대전,9335
2024-05-22,수,한화,LG,대전,9044
2024-05-23,목,한화,LG,대전,10008
2024-05-28,화,한화,롯데,대전,11168
2024-05-29,수,한화,롯데,대전,10807
2024-05-30,목,한화,롯데,대전,11405
2024-06-07,금,한화,NC,대전,12000
2024-06-08,토,한화,NC,대전,12000
2024-06-09,일,한화,NC,대전,12000
