날짜,요일,홈팀,원정팀,장소,관중 수
2024-03-26,화,KT,두산,수원,4378
2024-03-27,수,KT,두산,수원,5271
2024-03-28,목,KT,두산,수원,4304
2024-04-02,화,KT,KIA,수원,9682
2024-04-03,수,KT,KIA,수원,8050
2024-04-04,목,KT,KIA,수원,10722
2024-04-12,금,KT,SSG,수원,6912
2024-04-13,토,KT,SSG,수원,13995
2024-04-14,일,KT,SSG,수원,11280
2024-04-23,화,KT,한화,수원,10887
2024-04-24,수,KT,한화,수원,12538
2024-04-25,목,KT,한화,수원,11247
2024-05-03,금,KT,키움,수원,8213
2024-05-04,토,KT,키움,수원,14620
2024-05-08,수,KT,NC,수원,4480
2024-05-09,목,KT,NC,수원,6369
2024-05-14,화,KT,롯데,수원,10120
2024-05-16,목,KT,롯데,수원,8312
2024-05-17,금,KT,LG,수원,11374
2024-05-18,토,KT,LG,수원,18700
2024-05-19,일,KT,LG,수원,15912
2024-05-24,금,KT,키움,수원,6867
2024-05-25,토,KT,키움,수원,12425
2024-06-04,화,KT,한화,수원,11426
2024-06-05,수,KT,한화,수원,14626
2024-06-06,목,KT,한화,수원,18700
2024-06-07,금,KT,LG,수원,13154
2024-06-08,토,KT,LG,수원,18700
2024-06-09,일,KT,LG,수원,13642
