날짜,요일,홈팀,원정팀,장소,관중 수
2023-10-14,토,LG,두산,잠실,21771
2023-10-15,일,LG,두산,잠실,23750
2024-03-23,토,LG,한화,잠실,23750
2024-03-24,일,LG,한화,잠실,23750
2024-03-26,화,LG,삼성,잠실,14229
2024-03-27,수,LG,삼성,잠실,18041
2024-03-28,목,LG,삼성,잠실,13420
2024-04-02,화,LG,NC,잠실,11845
2024-04-03,수,LG,NC,잠실,10239
2024-04-04,목,LG,NC,잠실,11406
2024-04-05,금,LG,KT,잠실,13818
2024-04-06,토,LG,KT,잠실,21824
2024-04-07,일,LG,KT,잠실,19249
2024-04-16,화,LG,롯데,잠실,16635
2024-04-17,수,LG,롯데,잠실,16509
2024-04-18,목,LG,롯데,잠실,18200
2024-04-26,금,LG,KIA,잠실,23750
2024-04-27,토,LG,KIA,잠실,23750
2024-04-28,일,LG,KIA,잠실,23750
2024-05-03,금,LG,두산,잠실,23750
2024-05-04,토,LG,두산,잠실,23750
2024-05-07,화,LG,SSG,잠실,13387
2024-05-08,수,LG,SSG,잠실,15699
2024-05-09,목,LG,SSG,잠실,16823
2024-05-14,화,LG,키움,잠실,18479
2024-05-16,목,LG,키움,잠실,15054
2024-05-24,금,LG,NC,잠실,18551
2024-05-25,토,LG,NC,잠실,22261
2024-05-26,일,LG,NC,잠실,17692
2024-06-04,화,LG,키움,잠실,14490
2024-06-05,수,LG,키움,잠실,16681
2024-06-06,목,LG,키움,잠실,23750
